region,poverty_percent,income_per_capita,grp_per_capita,retail_turnover_per_capita,year,workers_percent,disabled_total,births,morbidity_rate_2020,несовершеннолетние,ранее_совершавшие,ранее_судимые,группа_лиц,группа_лиц_предварительный_сговор,организованная_группа,преступное_сообщество,в_состоянии_опьянения_всего,алкогольное_опьянение,наркотическое_опьянение,housing_satisfied_pct,housing_area_total_per_person,housing_area_living_per_person,housing_rooms_per_household,welfare_expense_share,poor_total_pct,poor_children_pct,poor_working_pct,poor_pensioners_pct,population_2020,child_mortality_total_2020
Алтайский край,17.5,23864.0,291156.9,153605.0,2020,81.74,173935.0,19976.0,116618.39,887.0,15400.0,7278.0,64.0,901.0,87.0,2.0,9396.0,46.0,0.0,83.2,25.9,18.0,2.4,29.7,100.0,31.4,59.4,9.2,2317153.0,97.0
Амурская область,15.2,35499.0,571362.1,245233.0,2020,85.54,64692.0,7853.0,93183.5,431.0,6001.0,3078.0,52.0,409.0,57.0,0.0,3123.0,108.0,2.0,77.3,23.2,17.3,2.3,21.7,100.0,38.4,56.9,4.7,790044.0,42.0
Архангельская область,11.5,51926.0,2139378.566666667,241780.0,2020,100.0,44243.5,19000.0,123076.22,571.0,6818.0,3648.0,49.0,994.0,54.0,0.0,4222.0,32.0,4.0,82.15,28.05,18.9,2.55,17.9,100.0,29.35,63.7,6.95,757690.0,22.0
Астраханская область,15.6,25199.0,526950.9,174527.0,2020,93.44,43609.0,10910.0,62153.14,343.0,5395.0,2622.0,42.0,680.0,80.0,19.0,2534.0,70.0,2.0,77.5,24.9,19.2,2.3,31.4,100.0,42.1,52.4,5.5,1005782.0,64.0
Белгородская область,7.2,32841.0,646569.0,237076.0,2020,95.92,199929.0,12351.0,72498.65,219.0,4599.0,2787.0,15.0,505.0,26.0,129.0,2251.0,49.0,0.0,86.3,25.1,17.8,2.6,16.1,100.0,0.0,0.0,0.0,1549151.0,47.0
Брянская область,13.6,28596.0,347204.5,225643.0,2020,82.28,106207.0,9480.0,83317.29,197.0,5177.0,2994.0,26.0,539.0,125.0,1.0,3094.0,18.0,3.0,94.7,30.5,24.1,3.2,23.1,100.0,44.8,51.6,3.7,1192491.0,41.0
Владимирская область,12.5,25922.0,410443.6,177680.0,2020,87.02,123256.0,10120.0,96285.63,378.0,5546.0,3381.0,16.0,602.0,33.0,7.0,3078.0,21.0,1.0,80.75,23.7,16.95,2.4,26.0,100.0,34.8,60.4,4.8,1358416.0,61.0
Волгоградская область,11.9,24864.0,394256.5,167446.0,2020,77.74,173155.0,19663.0,63661.99,873.0,10806.0,5716.0,73.0,1453.0,118.0,2.0,6228.0,101.0,2.0,80.75,23.7,16.95,2.4,25.1,100.0,46.2,49.8,4.0,2491036.0,97.0
Вологодская область,12.8,29522.0,544379.2,182920.0,2020,86.8,94470.0,10698.0,92618.98,510.0,6375.0,3523.0,40.0,775.0,31.0,41.0,3584.0,71.0,0.0,80.75,23.7,16.95,2.4,25.9,100.0,43.1,54.6,2.3,1160445.0,59.0
Воронежская область,8.5,32078.0,459629.5,252416.0,2020,89.0,216751.0,19161.0,55299.75,481.0,7526.0,4299.0,28.0,1007.0,116.0,21.0,4006.0,180.0,0.0,80.75,23.7,16.95,2.4,21.6,100.0,28.5,69.2,2.3,2324205.0,70.0
Еврейская автономная область,23.6,28048.0,400340.5,168066.0,2020,75.02,12625.0,1605.0,73010.51,66.0,1044.0,577.0,4.0,50.0,3.0,0.0,509.0,5.0,0.0,80.75,23.7,16.95,2.4,31.2,100.0,34.8,54.4,10.8,158305.0,11.0
Забайкальский край,20.9,27046.0,402594.6,164741.0,2020,81.92,77606.0,12484.0,74227.68,733.0,8501.0,4799.0,43.0,838.0,94.0,15.0,6297.0,107.0,3.0,81.9,23.1,17.1,2.4,26.5,100.0,33.4,59.3,7.2,1059700.0,64.0
Ивановская область,13.7,26277.0,273821.5,180314.0,2020,78.62,77557.0,7563.0,94982.41,300.0,4158.0,2235.0,11.0,439.0,96.0,3.0,2304.0,29.0,0.0,76.9,25.2,18.1,2.4,25.1,100.0,47.5,47.5,5.0,997135.0,28.0
