region,births_2020
Алтайский край,19976.0
Амурская область,7853.0
Архангельская область,19000.0
Астраханская область,10910.0
Белгородская область,12351.0
Брянская область,9480.0
Владимирская область,10120.0
Волгоградская область,19663.0
Вологодская область,10698.0
Воронежская область,19161.0
Еврейская автономная область,1605.0
Забайкальский край,12484.0
Ивановская область,7563.0
Иркутская область,27135.0
Кабардино-Балкарская Республика,10604.0
Калининградская область,9286.0
Калужская область,8989.0
Камчатский край,3240.0
Карачаево-Черкесская Республика,5118.0
Кемеровская область,22544.0
Кировская область,10619.0
Костромская область,5401.0
Краснодарский край,59234.0
Красноярский край,28985.0
Курганская область,7429.0
Курская область,9111.0
Ленинградская область,13267.0
Липецкая область,9389.0
Магаданская область,1314.0
Москва,123520.0
Московская область,79105.0
Мурманская область,6481.0
Нижегородская область,27646.0
Новгородская область,4885.0
Новосибирская область,28862.0
Омская область,17800.0
Оренбургская область,18780.0
Орловская область,5734.0
Пензенская область,9663.0
Пермский край,25527.0
Приморский край,18060.0
Псковская область,4995.0
Республика Адыгея,4418.0
Республика Алтай,2955.0
Республика Башкортостан,41177.0
Республика Бурятия,12620.0
Республика Дагестан,46506.0
Республика Ингушетия,8463.0
Республика Калмыкия,2772.0
Республика Карелия,5199.0
Республика Коми,7576.0
Республика Крым,18868.0
Республика Марий Эл,6640.0
Республика Мордовия,5556.0
Республика Саха,12955.0
Республика Северная Осетия-Алания,8157.0
Республика Татарстан,41597.0
Республика Тыва,6582.0
Республика Хакасия,5360.0
Ростовская область,36484.0
Рязанская область,8701.0
Самарская область,27981.0
Санкт-Петербург,55439.0
Саратовская область,18643.0
Сахалинская область,5591.0
Свердловская область,43988.0
Севастополь,4225.0
Смоленская область,6552.0
Ставропольский край,27485.0
Тамбовская область,7433.0
Тверская область,10075.0
Томская область,9940.0
Тульская область,10812.0
Тюменская область,92899.0
Удмуртская Республика,14545.0
Ульяновская область,10346.0
Хабаровский край,13739.0
Челябинская область,33250.0
Чеченская Республика,30107.0
Чувашская Республика,11306.0
Чукотский автономный округ,537.0
Ярославская область,10584.0
